Species,Tank,Date,Quantity,Notes
AMMA,18,6/25/2018,5,
AMMA,15,6/25/2018,4,
AMMA,9,6/25/2018,1,
AMMA,8,6/25/2018,2,
RASP,6,6/25/2018,4,
AMMA,6,6/25/2018,7,"1 small and sickly, right side damaged"
AMMA,3,6/25/2018,7,
AMMA,2,6/25/2018,8,
AMTE,2,6/25/2018,1,
